Date;Price
4.1.2011;143,026
5.1.2011;143,877
6.1.2011;143,335
7.1.2011;143,026
10.1.2011;144,804
11.1.2011;147,51
12.1.2011;145,577
13.1.2011;143,413
14.1.2011;140,707
17.1.2011;141,635
18.1.2011;142,253
19.1.2011;138,619
20.1.2011;136,532
21.1.2011;134,986
24.1.2011;133,671
25.1.2011;136,223
26.1.2011;139,547
27.1.2011;139,779
28.1.2011;136,919
31.1.2011;135,682
1.2.2011;138,465
2.2.2011;138,001
3.2.2011;142,949
4.2.2011;145,114
7.2.2011;142,794
8.2.2011;142,485
9.2.2011;143,799
10.2.2011;143,567
11.2.2011;143,258
14.2.2011;142,098
15.2.2011;140,707
16.2.2011;143,335
17.2.2011;142,717
18.2.2011;143,335
21.2.2011;140,784
22.2.2011;139,547
23.2.2011;136,609
24.2.2011;136,068
25.2.2011;138,156
28.2.2011;140,861
1.3.2011;139,779
2.3.2011;138,774
3.3.2011;141,866
4.3.2011;142,253
7.3.2011;142,098
8.3.2011;147,742
9.3.2011;146,969
10.3.2011;145,887
11.3.2011;145,346
14.3.2011;143,181
15.3.2011;140,088
16.3.2011;135,682
17.3.2011;137,846
18.3.2011;136,919
21.3.2011;140,243
22.3.2011;140,552
23.3.2011;139,47
24.3.2011;140,32
25.3.2011;140,939
28.3.2011;140,398
29.3.2011;140,784
30.3.2011;142,794
31.3.2011;143,49
1.4.2011;145,5
4.4.2011;146,66
5.4.2011;147,201
6.4.2011;147,124
7.4.2011;146,351
8.4.2011;147,665
11.4.2011;147,51
12.4.2011;146,351
13.4.2011;146,196
14.4.2011;145,577
15.4.2011;148,438
18.4.2011;146,505
19.4.2011;145,887
20.4.2011;148,67
21.4.2011;146,119
22.4.2011;146,119
25.4.2011;146,119
26.4.2011;149,443
27.4.2011;149,366
28.4.2011;151,376
29.4.2011;151,376
2.5.2011;151,376
3.5.2011;150,216
4.5.2011;152,072
5.5.2011;150,68
6.5.2011;150,603
9.5.2011;152,304
10.5.2011;155,551
11.5.2011;156,092
12.5.2011;153,85
13.5.2011;151,608
16.5.2011;149,984
17.5.2011;150,603
18.5.2011;151,298
19.5.2011;151,84
20.5.2011;153,386
23.5.2011;150,68
24.5.2011;151,994
25.5.2011;152,226
26.5.2011;151,53
27.5.2011;152,613
30.5.2011;152,613
31.5.2011;155,241
1.6.2011;155,937
2.6.2011;154,236
3.6.2011;153,077
6.6.2011;152,458
7.6.2011;152,767
8.6.2011;151,221
9.6.2011;152,304
10.6.2011;149,907
13.6.2011;150,989
14.6.2011;154,932
15.6.2011;152,613
16.6.2011;151,453
17.6.2011;150,757
20.6.2011;151,298
21.6.2011;153,541
22.6.2011;155,319
23.6.2011;153,463
24.6.2011;152,381
27.6.2011;152,999
28.6.2011;150,448
29.6.2011;153,541
30.6.2011;155,783
1.7.2011;154,546
4.7.2011;155,009
5.7.2011;157,793
6.7.2011;156,71
7.7.2011;157,251
8.7.2011;155,783
11.7.2011;151,994
12.7.2011;151,685
13.7.2011;152,072
